image_name,mask_type,wsmse_tag,swhdc_tag,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,1,0.01,27.17468357550693,0.09868881106376648,51741.359375,27.15333149028764,0.09970512986183167,52274.203125,0.017774581909179688,9319.0,0.0066509246826171875,3487.0,0.010278701782226562,5389.0,0.0,0,0.11747971177101135,61593.203125,1000,1000
othim02,full,0,1,0.01,27.15612050507765,0.09753745794296265,51137.71875,27.1243499711092,0.09777605533599854,51262.8125,0.0186004638671875,9752.0,0.008668899536132812,4545.0,0.00897979736328125,4708.0,0.0,0,0.11637651920318604,61014.8125,1000,1000
othim03,full,0,1,0.01,26.9738182175338,0.0952492356300354,49938.03125,26.965018683127454,0.09645478427410126,50570.0859375,0.017667770385742188,9263.0,0.0065670013427734375,3443.0,0.010385513305664062,5445.0,0.0,0,0.11412255465984344,59833.0859375,1000,1000
othim04,full,0,1,0.01,24.491645961620264,0.21552936732769012,112999.4609375,24.4829796809187,0.21705099940299988,113797.234375,0.016626358032226562,8717.0,0.0063934326171875,3352.0,0.009252548217773438,4851.0,0.0,0,0.23367735743522644,122514.234375,1000,1000
othim05,full,0,1,0.01,25.36822760451747,0.17415523529052734,91307.5,25.359664232705086,0.17493918538093567,91718.515625,0.017063140869140625,8946.0,0.007598876953125,3984.0,0.008718490600585938,4571.0,0.0,0,0.1920023262500763,100664.515625,1000,1000
othim06,full,0,1,0.01,25.401284163760625,0.17153748869895935,89935.046875,25.393024697435578,0.17234385013580322,90357.8125,0.017122268676757812,8977.0,0.0076999664306640625,4037.0,0.008554458618164062,4485.0,0.0,0,0.18946611881256104,99334.8125,1000,1000
othim07,full,0,1,0.01,28.259981105281636,0.0881529301404953,46217.5234375,28.213954479819034,0.08944301307201385,46893.8984375,0.01617431640625,8480.0,0.006450653076171875,3382.0,0.008991241455078125,4714.0,0.0,0,0.10561732947826385,55373.8984375,1000,1000
othim08,full,0,1,0.01,28.413010837467482,0.07232342660427094,37918.3046875,28.358870958476402,0.07309862226247787,38324.73046875,0.017385482788085938,9115.0,0.0074977874755859375,3931.0,0.008922576904296875,4678.0,0.0,0,0.09048410505056381,47439.73046875,1000,1000
othim09,full,0,1,0.01,28.34168737269483,0.0882464200258255,46266.5390625,28.332389301859788,0.08912065625190735,46724.890625,0.017904281616210938,9387.0,0.0067157745361328125,3521.0,0.010335922241210938,5419.0,0.0,0,0.10702493786811829,56111.890625,1000,1000
othim10,full,0,1,0.01,27.755875684336818,0.07531043887138367,39484.359375,27.732015164765276,0.07720295339822769,40476.58203125,0.016397476196289062,8597.0,0.0065593719482421875,3439.0,0.008962631225585938,4699.0,0.0,0,0.09360042959451675,49073.58203125,1000,1000
